Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
660.00,2.00,2.00,Semi-Furnished,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",1.00,4700000.00,Ready_to_move,New_Property,Builder_Floor,6154 
550.00,2.00,2.00,Semi-Furnished,Rohini Sector 22,1.00,4500000.00,Ready_to_move,New_Property,Builder_Floor,6154 
1100.00,4.00,3.00,Semi-Furnished,Rohini Sector 16,1.00,17000000.00,Ready_to_move,New_Property,Builder_Floor,6154 
1150.00,3.00,3.00,Semi-Furnished,Rohini Sector 14,1.00,25000000.00,Ready_to_move,Resale,Apartment,6154 
650.00,2.00,2.00,Semi-Furnished,Rohini Sector 24,1.00,6000000.00,Ready_to_move,Resale,Builder_Floor,6154 
850.00,2.00,2.00,Semi-Furnished,"Mayur Apartment, Rohini Sector 9",1.00,11000000.00,Ready_to_move,Resale,Apartment,6154 
900.00,3.00,2.00,Semi-Furnished,"Vijay Vihar, Rohini",5.00,4500000.00,Ready_to_move,Resale,Builder_Floor,6154 
430.56,1.00,1.00,Furnished,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",2.00,5300000.00,Ready_to_move,Resale,Apartment,6154 
900.00,2.00,2.00,Semi-Furnished,"Prashant Vihar, Rohini",1.00,10500000.00,Ready_to_move,Resale,Apartment,6154 
914.93,2.00,2.00,Semi-Furnished,Rohini Sector 5,1.00,12000000.00,Ready_to_move,Resale,Builder_Floor,6154 
1100.00,3.00,3.00,Furnished,Rohini Sector 20,1.00,7000000.00,Ready_to_move,New_Property,Builder_Floor,6364 
800.00,3.00,2.00,Semi-Furnished,Rohini Sector 25,1.00,7000000.00,Ready_to_move,Resale,Builder_Floor,8750 
500.00,1.00,1.00,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",1.00,3400000.00,Ready_to_move,Resale,Apartment,8750 
28.00,2.00,2.00,Furnished,Rohini Sector 25,1.00,5000000.00,Ready_to_move,New_Property,Apartment,8750 
2160.00,4.00,4.00,Furnished,Rohini Sector 19,1.00,21000000.00,Ready_to_move,New_Property,Builder_Floor,9722 
1500.00,1.00,,Unfurnished,Lajpat Nagar 2,,13500000.00,Ready_to_move,Resale,Apartment,
800.00,2.00,2.00,Unfurnished,Lajpat Nagar 1,1.00,15000000.00,Ready_to_move,New_Property,Builder_Floor,
900.00,2.00,2.00,Unfurnished,Lajpat Nagar,1.00,10500000.00,Ready_to_move,New_Property,Builder_Floor,
1080.00,3.00,2.00,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1.00,22500000.00,Ready_to_move,New_Property,Builder_Floor,
750.00,2.00,2.00,Unfurnished,Lajpat Nagar 4,1.00,13600000.00,Ready_to_move,New_Property,Builder_Floor,
1450.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,2.00,30000000.00,Ready_to_move,New_Property,Builder_Floor,
900.00,2.00,2.00,Semi-Furnished,Lajpat Nagar,1.00,13500000.00,Ready_to_move,New_Property,Apartment,
810.00,2.00,2.00,Semi-Furnished,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",1.00,8910000.00,Ready_to_move,Resale,Builder_Floor,
1350.00,3.00,4.00,Unfurnished,Lajpat Nagar,1.00,25000000.00,Ready_to_move,Resale,Apartment,
1710.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,4.00,26000000.00,Ready_to_move,New_Property,Builder_Floor,
1650.00,3.00,3.00,Semi-Furnished,Lajpat Nagar,1.00,30000000.00,Ready_to_move,Resale,Builder_Floor,
1280.00,2.00,2.00,Furnished,Lajpat Nagar,1.00,12500000.00,Ready_to_move,Resale,Builder_Floor,
1260.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,21000000.00,Ready_to_move,Resale,Builder_Floor,
1130.00,2.00,2.00,Unfurnished,Lajpat Nagar 4,1.00,7800000.00,Ready_to_move,Resale,Builder_Floor,
600.00,2.00,2.00,Semi-Furnished,"Amar Colony, Lajpat Nagar",1.00,11500000.00,Ready_to_move,New_Property,Builder_Floor,
850.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 1,1.00,11500000.00,Ready_to_move,Resale,Builder_Floor,
1500.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,2.00,26000000.00,Ready_to_move,New_Property,Builder_Floor,
900.00,2.00,2.00,Semi-Furnished,"Amar Colony, Lajpat Nagar",2.00,13000000.00,Ready_to_move,New_Property,Builder_Floor,14444 
1000.00,3.00,3.00,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1.00,22000000.00,Ready_to_move,New_Property,Builder_Floor,22000 
900.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 2,1.00,15800000.00,Ready_to_move,New_Property,Builder_Floor,22000 
2925.00,4.00,4.00,Unfurnished,Lajpat Nagar 3,2.00,57500000.00,Ready_to_move,New_Property,Builder_Floor,22000 
900.00,2.00,2.00,Unfurnished,Lajpat Nagar 1,2.00,10000000.00,Ready_to_move,Resale,Builder_Floor,22000 
1600.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,2.00,30000000.00,Ready_to_move,New_Property,Builder_Floor,22000 
1143.00,3.00,3.00,Unfurnished,"Vikram Vihar, Lajpat Nagar",2.00,22000000.00,Ready_to_move,New_Property,Builder_Floor,22000 
1150.00,3.00,3.00,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",2.00,24000000.00,Ready_to_move,New_Property,Builder_Floor,22000 
1500.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,31500000.00,Ready_to_move,Resale,Builder_Floor,22000 
850.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 2,1.00,14600000.00,Ready_to_move,Resale,Builder_Floor,22000 
8000.00,4.00,5.00,Semi-Furnished,Lajpat Nagar,1.00,240000000.00,Ready_to_move,New_Property,Builder_Floor,22000 
890.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 1,1.00,8300000.00,Ready_to_move,Resale,Builder_Floor,22000 
1100.00,3.00,3.00,Unfurnished,"Vikram Vihar, Lajpat Nagar",1.00,22500000.00,Ready_to_move,New_Property,Builder_Floor,22000 
750.00,1.00,1.00,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",2.00,4600000.00,Ready_to_move,Resale,Apartment,
850.00,2.00,1.00,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",2.00,1900000.00,Ready_to_move,New_Property,Apartment,2235 
1350.00,3.00,2.00,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1.00,5130000.00,Ready_to_move,New_Property,Apartment,3800 
1387.00,4.00,4.00,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",1.00,5890000.00,Ready_to_move,New_Property,Apartment,4247 
1050.00,3.00,2.00,Unfurnished,"The Elite Spire, Dwarka Sector 21",1.00,3700000.00,Ready_to_move,New_Property,Apartment,3524 
1500.00,3.00,2.00,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",1.00,17400000.00,Ready_to_move,Resale,Apartment,3524 
1200.00,3.00,3.00,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",1.00,15500000.00,Ready_to_move,Resale,Apartment,3524 
700.00,2.00,1.00,Semi-Furnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1.00,2400000.00,Almost_ready,New_Property,Apartment,3524 
1700.00,3.00,2.00,Semi-Furnished,"Sunny Valley Apartments, Dwarka",1.00,17200000.00,Ready_to_move,Resale,Apartment,3524 
1550.00,3.00,2.00,Furnished,"Shri Agrasen Apartment, Dwarka Sector 7",2.00,14200000.00,Ready_to_move,Resale,Apartment,3524 
1400.00,3.00,3.00,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1.00,13500000.00,Ready_to_move,Resale,Apartment,3524 
1900.00,4.00,4.00,Semi-Furnished,"Mohinder Apartments, Dwarka Sector 12",1.00,30000000.00,Ready_to_move,Resale,Apartment,3524 
2160.00,4.00,3.00,Unfurnished,"Chander Lok Apartment, Dwarka Sector 19",1.00,21000000.00,Ready_to_move,Resale,Apartment,3524 
1700.00,4.00,3.00,Unfurnished,"Neelachal, Dwarka Sector 5",1.00,20500000.00,Ready_to_move,Resale,Apartment,3524 
1850.00,3.00,4.00,Semi-Furnished,Dwarka,1.00,24000000.00,Ready_to_move,Resale,Apartment,3524 
1800.00,4.00,2.00,Semi-Furnished,"MeeraBai Apartment, Dwarka Sector 5",1.00,16500000.00,Ready_to_move,Resale,Apartment,3524 
1620.00,3.00,2.00,Semi-Furnished,"Crescent Apartments, Dwarka Sector 18",1.00,14900000.00,Ready_to_move,Resale,Apartment,3524 
1800.00,4.00,3.00,Furnished,"Ashoka Enclave Apartment, Dwarka Sector 11",1.00,19200000.00,Ready_to_move,Resale,Apartment,3524 
1540.00,3.00,3.00,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1.00,14500000.00,Ready_to_move,Resale,Apartment,3524 
1600.00,3.00,3.00,Semi-Furnished,"Ashirwad Apartments, Dwarka",1.00,15600000.00,Ready_to_move,Resale,Apartment,3524 
1400.00,3.00,2.00,Unfurnished,"Indraprastha Apartment, Dwarka Sector 12",1.00,11400000.00,Ready_to_move,Resale,Apartment,3524 
2300.00,4.00,4.00,Furnished,"Mohinder Apartments, Dwarka",1.00,31500000.00,Ready_to_move,Resale,Apartment,3524 
1560.00,3.00,2.00,Furnished,"Ashoka Apartments, Dwarka Sector 12",2.00,15800000.00,Ready_to_move,Resale,Apartment,3524 
1500.00,3.00,3.00,Semi-Furnished,"Karuna Vihar Apartment, Dwarka",2.00,16000000.00,Ready_to_move,Resale,Apartment,3524 
1540.00,3.00,3.00,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1.00,14500000.00,Ready_to_move,Resale,Apartment,3524 
1050.00,2.00,2.00,Unfurnished,"LNT Apartments, Dwarka",1.00,10500000.00,Ready_to_move,Resale,Apartment,3524 
1800.00,3.00,2.00,Semi-Furnished,Dwarka Sector 4,1.00,14800000.00,Ready_to_move,Resale,Apartment,3524 
400.00,1.00,1.00,Semi-Furnished,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1.00,1850000.00,Ready_to_move,New_Property,Builder_Floor,3524 
1150.00,3.00,2.00,Semi-Furnished,Dwarka Sector 16B,1.00,6800000.00,Ready_to_move,New_Property,Builder_Floor,3524 
1525.00,3.00,3.00,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1.00,14200000.00,Ready_to_move,Resale,Apartment,3524 
900.00,1.00,1.00,Semi-Furnished,Lajpat Nagar 3,,8900000.00,Ready_to_move,Resale,Builder_Floor,
1450.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,2.00,37500000.00,Ready_to_move,New_Property,Builder_Floor,
1450.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,2.00,30000000.00,Ready_to_move,New_Property,Builder_Floor,
1260.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,2.00,21000000.00,Ready_to_move,Resale,Builder_Floor,
2925.00,4.00,4.00,Unfurnished,Lajpat Nagar 3,2.00,57500000.00,Ready_to_move,New_Property,Builder_Floor,
1710.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,30000000.00,Ready_to_move,Resale,Builder_Floor,
1600.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,1.00,30000000.00,Ready_to_move,New_Property,Builder_Floor,
1500.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,31500000.00,Ready_to_move,Resale,Builder_Floor,
2200.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,1.00,30000000.00,Ready_to_move,Resale,Builder_Floor,
1350.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,1.00,41500000.00,Ready_to_move,New_Property,Builder_Floor,
1710.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,24800000.00,Ready_to_move,Resale,Builder_Floor,
1350.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,2.00,35000000.00,Ready_to_move,Resale,Builder_Floor,
1500.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,40000000.00,Ready_to_move,Resale,Builder_Floor,26666 
2880.00,4.00,5.00,Unfurnished,Lajpat Nagar 3,1.00,46000000.00,Ready_to_move,New_Property,Builder_Floor,15972 
2700.00,4.00,4.00,Semi-Furnished,Lajpat Nagar 3,2.00,55000000.00,Ready_to_move,Resale,Builder_Floor,183333 
1400.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,1.00,24500000.00,Ready_to_move,Resale,Builder_Floor,183333 
1800.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,1.00,24500000.00,Ready_to_move,Resale,Apartment,183333 
1400.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,32500000.00,Ready_to_move,New_Property,Builder_Floor,183333 
1000.00,2.00,2.00,Furnished,Lajpat Nagar 3,1.00,20000000.00,Ready_to_move,Resale,Apartment,20000 
8000.00,4.00,5.00,Semi-Furnished,Lajpat Nagar,1.00,240000000.00,Ready_to_move,New_Property,Builder_Floor,20000 
1000.00,2.00,2.00,Furnished,Lajpat Nagar 3,1.00,20000000.00,Ready_to_move,Resale,Apartment,20000 
1700.00,3.00,3.00,Furnished,Lajpat Nagar 3,2.00,19000000.00,Ready_to_move,Resale,Builder_Floor,20000 
1600.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,2.00,26000000.00,Ready_to_move,Resale,Builder_Floor,20000 
1350.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,1.00,21000000.00,Ready_to_move,Resale,Builder_Floor,15556 
1700.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,27500000.00,Ready_to_move,Resale,Builder_Floor,16176 
1400.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,2.00,32500000.00,Ready_to_move,New_Property,Builder_Floor,16176 
1450.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,45000000.00,Ready_to_move,New_Property,Builder_Floor,16176 
1350.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 3,1.00,21000000.00,Ready_to_move,Resale,Builder_Floor,15556 
1700.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,1.00,28000000.00,Ready_to_move,Resale,Builder_Floor,15556 
1600.00,3.00,3.00,Unfurnished,Lajpat Nagar 3,2.00,29500000.00,Ready_to_move,Resale,Builder_Floor,15556 
1500.00,1.00,,Unfurnished,Lajpat Nagar 2,,13500000.00,Ready_to_move,Resale,Apartment,
800.00,2.00,2.00,Unfurnished,Lajpat Nagar 2,1.00,14000000.00,Ready_to_move,New_Property,Builder_Floor,
1710.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,4.00,26000000.00,Ready_to_move,New_Property,Builder_Floor,
1350.00,2.00,2.00,Furnished,Lajpat Nagar 2,4.00,12500000.00,Ready_to_move,Resale,Builder_Floor,9259 
1500.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,2.00,26000000.00,Ready_to_move,New_Property,Builder_Floor,9259 
750.00,2.00,2.00,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",2.00,11500000.00,Ready_to_move,New_Property,Builder_Floor,9259 
850.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 2,2.00,14600000.00,Ready_to_move,Resale,Builder_Floor,9259 
1575.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,1.00,25500000.00,Ready_to_move,New_Property,Builder_Floor,9259 
1675.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,2.00,31000000.00,Ready_to_move,New_Property,Builder_Floor,18507 
1350.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,2.00,22000000.00,Ready_to_move,Resale,Builder_Floor,18507 
900.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 2,2.00,13400000.00,Ready_to_move,New_Property,Builder_Floor,18507 
1800.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,2.00,35000000.00,Almost_ready,New_Property,Builder_Floor,18507 
900.00,2.00,2.00,Furnished,Lajpat Nagar 2,2.00,11000000.00,Ready_to_move,Resale,Builder_Floor,18507 
900.00,2.00,2.00,Unfurnished,"Vinoba Puri, Lajpat Nagar",2.00,6300000.00,Ready_to_move,Resale,Builder_Floor,7000 
900.00,2.00,2.00,Furnished,Lajpat Nagar 2,2.00,12500000.00,Ready_to_move,Resale,Builder_Floor,7000 
800.00,2.00,2.00,Unfurnished,Lajpat Nagar 2,1.00,14500000.00,Ready_to_move,New_Property,Builder_Floor,7000 
1100.00,2.00,3.00,Semi-Furnished,Lajpat Nagar 2,1.00,22500000.00,Ready_to_move,New_Property,Builder_Floor,7000 
810.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 2,1.00,15500000.00,Ready_to_move,New_Property,Builder_Floor,7000 
1500.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,1.00,26000000.00,Ready_to_move,New_Property,Builder_Floor,7000 
900.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 2,1.00,15800000.00,Ready_to_move,New_Property,Builder_Floor,7000 
825.00,2.00,2.00,Unfurnished,Lajpat Nagar 2,1.00,15000000.00,Ready_to_move,New_Property,Builder_Floor,7000 
900.00,2.00,2.00,Unfurnished,Lajpat Nagar 2,1.00,13000000.00,Ready_to_move,New_Property,Builder_Floor,7000 
875.00,2.00,2.00,Unfurnished,Lajpat Nagar 2,1.00,15000000.00,Ready_to_move,New_Property,Builder_Floor,7000 
1350.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,1.00,25000000.00,Ready_to_move,New_Property,Builder_Floor,7000 
750.00,2.00,2.00,Semi-Furnished,Lajpat Nagar 2,1.00,16500000.00,Ready_to_move,New_Property,Builder_Floor,7000 
900.00,2.00,2.00,Unfurnished,Lajpat Nagar 2,1.00,10300000.00,Ready_to_move,New_Property,Builder_Floor,7000 
1350.00,3.00,3.00,Semi-Furnished,Lajpat Nagar 2,1.00,26000000.00,Ready_to_move,New_Property,Builder_Floor,7000 
900.00,2.00,2.00,Unfurnished,Lajpat Nagar 2,1.00,11000000.00,Ready_to_move,Resale,Builder_Floor,7000 
1800.00,3.00,3.00,Unfurnished,Lajpat Nagar 2,1.00,28500000.00,Ready_to_move,New_Property,Builder_Floor,7000 
900.00,2.00,2.00,Unfurnished,Lajpat Nagar 2,1.00,11000000.00,Ready_to_move,Resale,Builder_Floor,7000 
900.00,2.00,1.00,Furnished,Budh Vihar,1.00,11000000.00,Ready_to_move,Resale,Apartment,
810.00,3.00,2.00,Semi-Furnished,Budh Vihar,1.00,4500000.00,Ready_to_move,Resale,Builder_Floor,
450.00,2.00,1.00,Unfurnished,"Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served",1.00,3600000.00,Ready_to_move,Resale,Builder_Floor,72000 
100.00,3.00,2.00,Furnished,Budh Vihar Phase 1,1.00,4300000.00,Ready_to_move,New_Property,Builder_Floor,43000 
900.00,3.00,2.00,Semi-Furnished,Budh Vihar,1.00,4000000.00,Ready_to_move,Resale,Builder_Floor,4444 
500.00,2.00,2.00,Semi-Furnished,Budh Vihar Phase 1,1.00,1650000.00,Ready_to_move,Resale,Apartment,3300 
450.00,1.00,1.00,Furnished,Budh Vihar,1.00,2000000.00,Ready_to_move,Resale,Builder_Floor,4444 
75.00,2.00,2.00,Semi-Furnished,Budh Vihar,1.00,3000000.00,Ready_to_move,Resale,Builder_Floor,40000 
270.00,2.00,1.00,Semi-Furnished,Budh Vihar Phase 1,1.00,1400000.00,Ready_to_move,Resale,Apartment,5185 
500.00,2.00,1.00,Semi-Furnished,Budh Vihar Phase 1,1.00,2000000.00,Ready_to_move,Resale,Builder_Floor,4000 
444.00,2.00,2.00,Unfurnished,Budh Vihar Phase 1,1.00,2000000.00,Ready_to_move,Resale,Apartment,4000 
400.00,1.00,1.00,Furnished,Budh Vihar,1.00,2000000.00,Ready_to_move,Resale,Builder_Floor,4000 
729.00,3.00,4.00,Furnished,Budh Vihar,1.00,2600000.00,Ready_to_move,Resale,Builder_Floor,3567 
4050.00,6.00,3.00,Furnished,Budh Vihar Phase 1,1.00,5100000.00,Ready_to_move,Resale,Builder_Floor,1259 
2400.00,6.00,4.00,Furnished,Budh Vihar Phase 2,1.00,6000000.00,Ready_to_move,Resale,Builder_Floor,2500 
450.00,2.00,2.00,Furnished,Budh Vihar,1.00,4000000.00,Ready_to_move,Resale,Builder_Floor,2500 
405.00,2.00,3.00,Furnished,Budh Vihar Phase 2,1.00,6200000.00,Ready_to_move,Resale,Builder_Floor,2500 
666.00,1.00,2.00,Furnished,Budh Vihar Phase 1,1.00,3500000.00,Ready_to_move,Resale,Builder_Floor,5255 
1000.00,2.00,2.00,Semi-Furnished,"Saptrishi Apartment, Rohini Sector 23",1.00,7600000.00,Ready_to_move,Resale,Apartment,5255 
1360.00,4.00,3.00,Semi-Furnished,Rohini Sector 24,1.00,13500000.00,Ready_to_move,New_Property,Builder_Floor,5255 
1550.00,4.00,3.00,Semi-Furnished,Rohini Sector 24,1.00,12500000.00,Ready_to_move,New_Property,Builder_Floor,5255 
850.00,3.00,2.00,Semi-Furnished,Rohini Sector 23,1.00,6500000.00,Ready_to_move,New_Property,Builder_Floor,5255 
2170.00,4.00,4.00,Unfurnished,Rohini Sector 23,2.00,22000000.00,Ready_to_move,New_Property,Builder_Floor,5255 
720.00,3.00,2.00,Semi-Furnished,Rohini Sector 23,1.00,6000000.00,Ready_to_move,New_Property,Builder_Floor,5255 
850.00,3.00,2.00,Semi-Furnished,Rohini Sector 23,1.00,7300000.00,Ready_to_move,New_Property,Builder_Floor,5255 
950.00,3.00,2.00,Semi-Furnished,Rohini Sector 23,1.00,7600000.00,Ready_to_move,New_Property,Builder_Floor,5255 
2300.00,4.00,4.00,Semi-Furnished,Rohini Sector 23,1.00,20000000.00,Ready_to_move,New_Property,Builder_Floor,5255 
1300.00,4.00,4.00,Semi-Furnished,Rohini Sector 22,1.00,15000000.00,Ready_to_move,New_Property,Builder_Floor,5255 
1100.00,3.00,2.00,Semi-Furnished,Rohini Sector 20,1.00,6200000.00,Ready_to_move,New_Property,Builder_Floor,5255 
1030.00,3.00,2.00,Furnished,Rohini Sector 20,1.00,6200000.00,Ready_to_move,New_Property,Builder_Floor,5255 
350.00,1.00,1.00,Semi-Furnished,"Rohini ( 1 km from Shahbad Dairy, Rohini)",1.00,2300000.00,Ready_to_move,New_Property,Builder_Floor,
750.00,2.00,2.00,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.00,5000000.00,Ready_to_move,New_Property,Apartment,6667 
720.00,2.00,2.00,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.00,4700000.00,Ready_to_move,New_Property,Apartment,6528 
800.00,2.00,2.00,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.00,5500000.00,Ready_to_move,New_Property,Apartment,6875 
